district,year,deposits,growth_rate_%
BAGERHAT,2018,3259.37,
BAGERHAT,2019,3501.9,7.441008538459903
BAGERHAT,2020,3856.63,10.12964390759301
BAGERHAT,2021,4171.4,8.161788919341495
BAGERHAT,2022,4548.049999999999,9.029342666730589
BAGERHAT,2023,3370.3999999999996,-25.893514803047456
BAGERHAT,2024,1738.37,-48.42244244006646
BAGERHAT Total,2018,10303.89,
BAGERHAT Total,2019,11150.96,8.220875805157068
BAGERHAT Total,2020,12689.989999999998,13.80177132731173
BAGERHAT Total,2021,14015.57,10.445871115737692
BAGERHAT Total,2022,15205.85,8.492555065544959
BAGERHAT Total,2023,10852.04,-28.632467109697913
BAGERHAT Total,2024,5596.17,-48.43209203062282
BANDARBAN,2018,91.63000000000001,
BANDARBAN,2019,99.96,9.090909090909083
BANDARBAN,2020,135.15,35.20408163265307
BANDARBAN,2021,122.13999999999999,-9.626341102478742
BANDARBAN,2022,129.48000000000002,6.009497298182431
BANDARBAN,2023,89.72,-30.707445165276503
BANDARBAN,2024,45.07,-49.765938475256355
BANDARBAN Total,2018,1915.25,
BANDARBAN Total,2019,2126.96,11.05390941130402
BANDARBAN Total,2020,2503.2,17.68909617482226
BANDARBAN Total,2021,2712.6400000000003,8.366890380313219
BANDARBAN Total,2022,3012.38,11.049752270850522
BANDARBAN Total,2023,2190.45,-27.28507027665833
BANDARBAN Total,2024,1099.24,-49.81670433016047
BARGUNA,2018,569.0,
BARGUNA,2019,599.47,5.355008787346227
BARGUNA,2020,651.47,8.674328990608359
BARGUNA,2021,714.32,9.647412774187615
BARGUNA,2022,796.5,11.504647776906696
BARGUNA,2023,557.5699999999999,-29.997489014438173
BARGUNA,2024,278.32,-50.0833976003013
BARGUNA Total,2018,4116.52,
BARGUNA Total,2019,4489.0199999999995,9.048905386102813
BARGUNA Total,2020,5066.02,12.853584969547938
BARGUNA Total,2021,5532.5599999999995,9.209201700743375
BARGUNA Total,2022,6102.860000000001,10.308067151553724
BARGUNA Total,2023,4430.87,-27.396827061410555
BARGUNA Total,2024,2267.68,-48.82088619165085
BARISHAL,2018,550.95,
BARISHAL,2019,631.37,14.596605862600963
BARISHAL,2020,719.5,13.958534615201867
BARISHAL,2021,834.6999999999999,16.011118832522577
BARISHAL,2022,914.55,9.56631124955074
BARISHAL,2023,651.6700000000001,-28.74419113225082
BARISHAL,2024,331.26,-49.1675234397778
BARISHAL Total,2018,24640.06,
BARISHAL Total,2019,27221.29,10.475745594775333
BARISHAL Total,2020,31119.05,14.318792386400482
BARISHAL Total,2021,35411.03,13.792130543830861
BARISHAL Total,2022,38790.75,9.544257820232849
BARISHAL Total,2023,27915.129999999997,-28.036632444590538
BARISHAL Total,2024,14079.66,-49.56262070067379
BHOLA,2018,4073.31,
BHOLA,2019,4503.7,10.566099805809026
BHOLA,2020,5284.2300000000005,17.33086129182673
BHOLA,2021,5638.71,6.708262130906473
BHOLA,2022,5878.84,4.258598154542437
BHOLA,2023,4186.610000000001,-28.785100461995896
BHOLA,2024,2157.14,-48.4752580249892
BHOLA Total,2018,9501.869999999999,
BHOLA Total,2019,10327.95,8.693867628161644
BHOLA Total,2020,11676.33,13.0556402771121
BHOLA Total,2021,12548.689999999999,7.471183154295913
BHOLA Total,2022,13542.77,7.921783070583488
BHOLA Total,2023,9628.09,-28.906050977754184
BHOLA Total,2024,4880.28,-49.312065009778685
BOGURA,2018,899.1700000000001,
BOGURA,2019,992.96,10.430730562629975
BOGURA,2020,1148.44,15.658233967128577
BOGURA,2021,1439.0700000000002,25.30650273414372
BOGURA,2022,1368.0700000000002,-4.933741930552371
BOGURA,2023,992.23,-27.472278465283217
BOGURA,2024,487.39,-50.87933241284783
BOGURA Total,2018,25093.120000000003,
BOGURA Total,2019,28359.84,13.018389104264427
BOGURA Total,2020,32554.22,14.78985777070676
BOGURA Total,2021,36322.270000000004,11.574689855877374
BOGURA Total,2022,38957.119999999995,7.254089570943645
BOGURA Total,2023,27867.059999999998,-28.46735076925604
BOGURA Total,2024,14428.37,-48.224283437147655
BRAHMANBARIA,2018,1982.6000000000001,
BRAHMANBARIA,2019,2299.69,15.993644708968024
BRAHMANBARIA,2020,2710.42,17.860233335797425
BRAHMANBARIA,2021,3106.0,14.594786047918774
BRAHMANBARIA,2022,3290.5299999999997,5.941081777205404
BRAHMANBARIA,2023,2387.84,-27.432966725725027
BRAHMANBARIA,2024,1250.29,-47.639289064593946
BRAHMANBARIA Total,2018,29803.48,
BRAHMANBARIA Total,2019,35204.44,18.121910595675406
BRAHMANBARIA Total,2020,40862.88,16.07308623571344
BRAHMANBARIA Total,2021,45098.58,10.365642362946526
BRAHMANBARIA Total,2022,47022.33,4.265655370967325
BRAHMANBARIA Total,2023,32350.980000000003,-31.200814591705683
BRAHMANBARIA Total,2024,16341.84,-49.48579610262194
CHANDPUR,2018,7713.169999999999,
CHANDPUR,2019,8684.64,12.594951232761641
CHANDPUR,2020,10083.62,16.10867001971299
CHANDPUR,2021,11454.4,13.59412591906477
CHANDPUR,2022,12236.33,6.826459701075582
CHANDPUR,2023,8777.33,-28.268279786504614
CHANDPUR,2024,4438.84,-49.42835691491604
CHANDPUR Total,2018,24374.449999999997,
CHANDPUR Total,2019,27444.35,12.594745727595914
CHANDPUR Total,2020,32095.25,16.946657508740426
CHANDPUR Total,2021,37196.5,15.894096478450859
CHANDPUR Total,2022,39307.92999999999,5.676421168658319
CHANDPUR Total,2023,27949.260000000002,-28.896637396067394
CHANDPUR Total,2024,14169.12,-49.3041318446356
CHAPAINAWABGANJ,2018,186.3,
CHAPAINAWABGANJ,2019,183.9,-1.2882447665056418
CHAPAINAWABGANJ,2020,193.37,5.1495377922784025
CHAPAINAWABGANJ,2021,231.36,19.64627398252057
CHAPAINAWABGANJ,2022,278.73,20.47458506224067
CHAPAINAWABGANJ,2023,205.61,-26.233272342410217
CHAPAINAWABGANJ,2024,98.79,-51.95272603472594
CHAPAINAWABGANJ Total,2018,8005.5,
CHAPAINAWABGANJ Total,2019,8749.33,9.291487102616959
CHAPAINAWABGANJ Total,2020,9998.779999999999,14.280522051402777
CHAPAINAWABGANJ Total,2021,11241.45,12.428216242381595
CHAPAINAWABGANJ Total,2022,12185.18,8.395091380560338
CHAPAINAWABGANJ Total,2023,8868.45,-27.21937632435466
CHAPAINAWABGANJ Total,2024,4384.69,-50.55855307297217
CHATTOGRAM,2018,1136.31,
CHATTOGRAM,2019,1317.58,15.952512958611642
CHATTOGRAM,2020,1455.46,10.464639718271386
CHATTOGRAM,2021,1783.5300000000002,22.540640072554385
CHATTOGRAM,2022,1737.2,-2.5976574545984787
CHATTOGRAM,2023,1251.9499999999998,-27.932880497352073
CHATTOGRAM,2024,620.1,-50.469267942010454
CHATTOGRAM Total,2018,456579.45000000007,
CHATTOGRAM Total,2019,489198.99,7.144329426127238
CHATTOGRAM Total,2020,539279.66,10.237279925700582
CHATTOGRAM Total,2021,599958.1799999999,11.251772410626405
CHATTOGRAM Total,2022,632206.85,5.375152981496156
CHATTOGRAM Total,2023,473349.19,-25.1274816146013
CHATTOGRAM Total,2024,240637.65,-49.16276290659756
CHUADANGA,2018,1191.53,
CHUADANGA,2019,1345.03,12.882596325732454
CHUADANGA,2020,1584.44,17.799602982833097
CHUADANGA,2021,1809.2200000000003,14.18671581126456
CHUADANGA,2022,1977.98,9.327776610915194
CHUADANGA,2023,1406.25,-28.904741200618812
CHUADANGA,2024,718.42,-48.91235555555555
CHUADANGA Total,2018,6079.08,
CHUADANGA Total,2019,6879.91,13.17353941714865
CHUADANGA Total,2020,8002.030000000001,16.31009707975832
CHUADANGA Total,2021,8808.4,10.0770679440092
CHUADANGA Total,2022,10113.5,14.816538758457831
CHUADANGA Total,2023,6899.16,-31.782666732585163
CHUADANGA Total,2024,3592.15,-47.933516544043044
COX'S BAZAR,2018,3934.75,
COX'S BAZAR,2019,4538.83,15.352436622402955
COX'S BAZAR,2020,5052.14,11.309302176992752
COX'S BAZAR,2021,5588.61,10.618668524625186
COX'S BAZAR,2022,5921.12,5.949779998962179
COX'S BAZAR,2023,4179.43,-29.41487421298673
COX'S BAZAR,2024,2134.21,-48.93538114049045
COX'S BAZAR Total,2018,23896.83,
COX'S BAZAR Total,2019,28467.350000000002,19.126051446991088
