district,Q1,Q2,Q3
Grand Total,8167361.650000001,8300348.53,6775630.77
nan,7907807.149999987,8036141.15000001,6561949.139999989
DHAKA Total,4244873.68,4319764.4,3538005.9299999997
CHATTOGRAM Total,1123752.15,1135738.25,931081.92
SYLHET Total,196394.98000000004,201505.52,163308.14
CUMILLA Total,179535.89,184796.86,148718.05
NARAYANGANJ Total,164882.08000000002,167081.01,136052.0
GAZIPUR Total,150761.3,154121.36000000002,125715.87000000001
KHULNA Total,108780.44,109443.25,90216.19
NOAKHALI Total,88961.93,92098.95000000001,74020.48
BRAHMANBARIA Total,80060.32,82738.3,67544.07
TANGAIL Total,80248.51000000001,82201.63,66218.73
RAJSHAHI Total,76432.56,76046.43,61742.8
FENI Total,72799.31,74698.7,60269.5
MYMENSINGH Total,72034.56,72021.95999999999,58108.72
NARSHINGDI Total,71064.23999999999,72267.23,58072.51
JASHORE Total,66874.06,67197.29,55805.1
BOGURA Total,66524.3,67592.06,55037.270000000004
CHANDPUR Total,65829.76,67767.12000000001,54770.86
BARISHAL Total,65171.380000000005,66546.81999999999,53379.11
COX'S BAZAR Total,62200.26,63350.24,53284.14000000001
MOULVIBAZAR Total,61357.95,62668.759999999995,50102.979999999996
MUNSHIGANJ Total,55211.47,56962.990000000005,46463.560000000005
PABNA Total,50149.49,50698.75,41252.03
FARIDPUR Total,48836.35,49990.020000000004,40336.61
SIRAJGANJ Total,46840.509999999995,47267.31,38320.47
LAKSHMIPUR Total,44759.44,46080.89,37032.78
DINAJPUR Total,43827.96,43720.32000000001,35762.57
KISHOREGANJ Total,43354.42999999999,43974.560000000005,35042.15
RANGPUR Total,43124.29,43034.509999999995,35626.36
KUSHTIA Total,40237.19,41028.24,33608.25
NAOGAON Total,34839.3,34787.09,28232.460000000003
MADARIPUR Total,33014.630000000005,34672.24,27149.59
MANIKGANJ Total,32964.43,33980.14,27275.980000000003
SATKHIRA Total,32792.509999999995,33016.87,27080.32
HABIGANJ Total,32617.930000000004,33522.27,26699.120000000003
SHARIATPUR Total,26913.780000000002,27927.05,22149.399999999998
JAMALPUR Total,26814.82,27198.42,21588.03
