district,thana,year,quarter,deposits
BAGERHAT Total,nan,2018,Q1,3538.29
BAGERHAT Total,nan,2018,Q2,3223.58
BAGERHAT Total,nan,2018,Q3,3542.02
BAGERHAT Total,nan,2019,Q1,3560.0
BAGERHAT Total,nan,2019,Q2,3584.54
BAGERHAT Total,nan,2019,Q3,4006.42
BAGERHAT Total,nan,2020,Q1,4059.48
BAGERHAT Total,nan,2020,Q2,4205.65
BAGERHAT Total,nan,2020,Q3,4424.86
BAGERHAT Total,nan,2021,Q1,4630.53
BAGERHAT Total,nan,2021,Q2,4588.18
BAGERHAT Total,nan,2021,Q3,4796.86
BAGERHAT Total,nan,2022,Q1,5226.22
BAGERHAT Total,nan,2022,Q2,4928.23
BAGERHAT Total,nan,2022,Q3,5051.4
BAGERHAT Total,nan,2023,Q1,5298.81
BAGERHAT Total,nan,2023,Q2,5553.23
BAGERHAT Total,nan,2024,,5596.17
BAGERHAT,BAGERHAT SADAR,2018,Q1,1102.47
BAGERHAT,BAGERHAT SADAR,2018,Q2,1051.3
BAGERHAT,BAGERHAT SADAR,2018,Q3,1105.6
BAGERHAT,BAGERHAT SADAR,2019,Q1,1134.0
BAGERHAT,BAGERHAT SADAR,2019,Q2,1162.34
BAGERHAT,BAGERHAT SADAR,2019,Q3,1205.56
BAGERHAT,BAGERHAT SADAR,2020,Q1,1261.25
BAGERHAT,BAGERHAT SADAR,2020,Q2,1288.42
BAGERHAT,BAGERHAT SADAR,2020,Q3,1306.96
BAGERHAT,BAGERHAT SADAR,2021,Q1,1388.19
BAGERHAT,BAGERHAT SADAR,2021,Q2,1351.61
BAGERHAT,BAGERHAT SADAR,2021,Q3,1431.6
BAGERHAT,BAGERHAT SADAR,2022,Q1,1496.58
BAGERHAT,BAGERHAT SADAR,2022,Q2,1528.53
BAGERHAT,BAGERHAT SADAR,2022,Q3,1522.94
BAGERHAT,BAGERHAT SADAR,2023,Q1,1653.32
BAGERHAT,BAGERHAT SADAR,2023,Q2,1717.08
BAGERHAT,BAGERHAT SADAR,2024,,1738.37
nan,CHITALMARI,2018,Q1,143.24
nan,CHITALMARI,2018,Q2,145.88
nan,CHITALMARI,2018,Q3,151.0
nan,CHITALMARI,2019,Q1,154.33
nan,CHITALMARI,2019,Q2,151.57
nan,CHITALMARI,2019,Q3,161.5
nan,CHITALMARI,2020,Q1,167.28
nan,CHITALMARI,2020,Q2,167.65
nan,CHITALMARI,2020,Q3,176.42
nan,CHITALMARI,2021,Q1,182.78
nan,CHITALMARI,2021,Q2,183.83
nan,CHITALMARI,2021,Q3,197.56
nan,CHITALMARI,2022,Q1,199.79
nan,CHITALMARI,2022,Q2,202.91
nan,CHITALMARI,2022,Q3,209.93
nan,CHITALMARI,2023,Q1,213.76
nan,CHITALMARI,2023,Q2,225.75
nan,CHITALMARI,2024,,230.49
nan,FAKIRHAT,2018,Q1,503.2
nan,FAKIRHAT,2018,Q2,425.27
nan,FAKIRHAT,2018,Q3,458.18
nan,FAKIRHAT,2019,Q1,468.87
nan,FAKIRHAT,2019,Q2,468.0
nan,FAKIRHAT,2019,Q3,503.95
nan,FAKIRHAT,2020,Q1,556.25
nan,FAKIRHAT,2020,Q2,517.47
nan,FAKIRHAT,2020,Q3,529.19
nan,FAKIRHAT,2021,Q1,566.98
nan,FAKIRHAT,2021,Q2,570.82
nan,FAKIRHAT,2021,Q3,572.86
nan,FAKIRHAT,2022,Q1,591.01
nan,FAKIRHAT,2022,Q2,589.88
nan,FAKIRHAT,2022,Q3,615.17
nan,FAKIRHAT,2023,Q1,611.94
nan,FAKIRHAT,2023,Q2,643.1
nan,FAKIRHAT,2024,,661.19
nan,KACHUA,2018,Q1,215.51
nan,KACHUA,2018,Q2,155.57
nan,KACHUA,2018,Q3,150.18
nan,KACHUA,2019,Q1,154.29
nan,KACHUA,2019,Q2,151.98
nan,KACHUA,2019,Q3,156.76
nan,KACHUA,2020,Q1,161.88
nan,KACHUA,2020,Q2,163.29
nan,KACHUA,2020,Q3,167.45
nan,KACHUA,2021,Q1,171.38
nan,KACHUA,2021,Q2,173.52
nan,KACHUA,2021,Q3,183.13
nan,KACHUA,2022,Q1,189.31
nan,KACHUA,2022,Q2,202.56
nan,KACHUA,2022,Q3,208.86
nan,KACHUA,2023,Q1,226.82
nan,KACHUA,2023,Q2,230.82
nan,KACHUA,2024,,233.41
nan,MOLLAHAT,2018,Q1,106.22
nan,MOLLAHAT,2018,Q2,101.47
