district,thana,deposits
Grand Total,nan,25005643.97
DHAKA Total,nan,13017043.750000002
CHATTOGRAM Total,nan,3431209.97
nan,MOTIJHEEL,2982827.8600000003
nan,GULSHAN,2176689.56
nan,DOUBLE MOORING,1036153.3299999998
nan,KOTWALI_CHATTOGRAM,781015.1000000001
nan,BANANI,724483.9800000001
nan,DHANMONDI,686352.4499999998
nan,PALTAN,625822.4299999999
nan,TEJGAON,612770.48
SYLHET Total,nan,603875.48
CUMILLA Total,nan,553094.9800000001
NARAYANGANJ Total,nan,504000.2
GAZIPUR Total,nan,462892.02999999997
nan,RAMNA,446050.63000000006
KHULNA Total,nan,331161.99
nan,KOTWALI_SYLHET,330835.84
nan,SHAHBAG,323029.28
nan,UTTARA EAST,304739.44999999995
nan,UTTARA WEST,293982.22000000003
nan,KOTWALI,284112.54999999993
NOAKHALI Total,nan,274530.73000000004
nan,NARAYANGANJ SADAR,259889.27
nan,CHAWKBAZAR,253369.94000000003
nan,MOHAMMADPUR,250065.98000000004
TANGAIL Total,nan,247072.03999999998
BRAHMANBARIA Total,nan,246684.53
nan,PANCHLAISH,232250.54
RAJSHAHI Total,nan,230367.06000000003
nan,MIRPUR,224876.9
FENI Total,nan,223770.19
MYMENSINGH Total,nan,218299.69000000003
NARSHINGDI Total,nan,217033.12999999998
nan,KOTWALI_DHAKA,213527.93000000002
nan,CANTONMENT,210403.49000000005
JASHORE Total,nan,204307.72999999998
BOGURA Total,nan,203582.00000000006
CHANDPUR Total,nan,202536.86000000002
BARISHAL Total,nan,199176.97000000003
nan,KOTWALI_CUMILLA,198926.00999999998
nan,BANDAR CTG.,193326.07
nan,SHER-E-BANGLA NAGAR,193125.64000000004
COX'S BAZAR Total,nan,190977.42999999996
MOULVIBAZAR Total,nan,187800.57
MUNSHIGANJ Total,nan,170445.13
nan,JOYDEBPUR (GAZIPUR)/,167509.85
nan,NEW MARKET,166980.48
nan,KOTWALI_KHULNA,158065.80000000002
PABNA Total,nan,152898.31
nan,VATARA,150705.78
FARIDPUR Total,nan,149961.96000000002
nan,BOALIA,146980.80000000002
SIRAJGANJ Total,nan,142469.46999999997
nan,PALLABI,141269.21
nan,SAVAR,137960.9
nan,KALABAGAN,137810.91
LAKSHMIPUR Total,nan,137369.78000000003
nan,BANGSHAL,135133.81
nan,FENI SADAR,133447.66999999998
DINAJPUR Total,nan,132410.58000000002
KISHOREGANJ Total,nan,132147.49
nan,HATHAZARI,131713.52
RANGPUR Total,nan,130886.32999999999
nan,KOTWALI_BOGURA,128588.73
nan,KOTWALI_BARISHAL,126535.1
KUSHTIA Total,nan,123586.05
nan,BRAHMANBARIA SADAR,122262.68000000002
nan,KOTWALI_MYMENSINGH,120247.66999999998
nan,KAFRUL,113842.65999999999
nan,ASHULIA,110125.84
NAOGAON Total,nan,105198.87999999998
MADARIPUR Total,nan,102054.1
MANIKGANJ Total,nan,101484.3
HABIGANJ Total,nan,100572.92000000003
SATKHIRA Total,nan,99783.21999999999
nan,BADDA,98738.67000000001
nan,TANGAIL SADAR,94273.64
nan,COX'S BAZAR SADAR,89959.41999999997
nan,RAMPURA,87063.04999999999
nan,MOULVIBAZAR SADAR,86896.01999999999
nan,WARI,86642.30999999998
nan,KOTWALI_FARIDPUR,85380.59999999999
nan,NARSHINGDI SADAR,84400.27999999998
SHARIATPUR Total,nan,83351.09999999999
nan,KERANIGANJ,82600.54
JAMALPUR Total,nan,82059.52
nan,RAOZAN,81641.44
nan,FATIKCHARI,80583.99999999999
BAGERHAT Total,nan,79814.47
nan,KUSHTIA SADAR,79796.54
nan,KHILKHET,79296.51
SUNAMGANJ Total,nan,78839.62
nan,HATIRJHEEL,77450.94000000002
NOAKHALI,BEGUMGANJ,73964.87
DHAKA,ADABOR,73286.83
JHENAIDAH Total,nan,72935.06999999999
nan,SONADANGA,72764.27
BHOLA Total,nan,72105.98
nan,PABNA SADAR,71177.87
nan,CHANDGAON,69755.4
GOPALGANJ Total,nan,69311.25999999998
PATUAKHALI Total,nan,68760.06000000001
nan,SHAHJAHANPUR,68580.91
nan,NAWABGANJ,66281.95999999998
PIROJPUR Total,nan,66101.29
NATORE Total,nan,64806.33
nan,JATRABARI,64395.89999999999
CHAPAINAWABGANJ Total,nan,63433.380000000005
CHANDPUR,CHANDPUR SADAR,63388.33
nan,DARUS SALAM,61312.770000000004
