Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
BAGERHAT Total,,3115.59,3538.29,3223.58,3542.02,3396.42,3560.00,3584.54,4006.42,3967.04,4059.48,4205.65,4424.86,4254.12,4630.53,4588.18,4796.86,4833.85,5226.22,4928.23,5051.40,5318.79,5298.81,5553.23,5596.17
BAGERHAT,BAGERHAT SADAR,1020.17,1102.47,1051.30,1105.60,1090.81,1134.00,1162.34,1205.56,1219.66,1261.25,1288.42,1306.96,1304.99,1388.19,1351.61,1431.60,1432.59,1496.58,1528.53,1522.94,1640.97,1653.32,1717.08,1738.37
,CHITALMARI,140.06,143.24,145.88,151.00,150.34,154.33,151.57,161.50,162.84,167.28,167.65,176.42,176.91,182.78,183.83,197.56,197.30,199.79,202.91,209.93,211.22,213.76,225.75,230.49
,FAKIRHAT,417.12,503.20,425.27,458.18,458.62,468.87,468.00,503.95,501.74,556.25,517.47,529.19,520.46,566.98,570.82,572.86,582.59,591.01,589.88,615.17,606.45,611.94,643.10,661.19
,KACHUA,137.77,215.51,155.57,150.18,146.29,154.29,151.98,156.76,154.74,161.88,163.29,167.45,161.21,171.38,173.52,183.13,185.70,189.31,202.56,208.86,217.55,226.82,230.82,233.41
,MOLLAHAT,99.60,106.22,101.47,106.92,111.51,122.82,118.85,122.63,120.03,137.42,132.43,134.41,123.14,126.10,123.90,139.26,140.18,142.98,145.51,150.54,156.90,154.52,155.86,161.13
,MONGLA,556.03,561.02,537.05,730.48,592.37,652.60,647.04,925.56,867.72,770.74,934.14,1100.71,960.64,1140.11,1126.92,1152.25,1182.90,1419.12,1061.68,1145.94,1261.00,1188.69,1248.14,1252.93
,MORRELGANJ,426.84,552.51,444.65,466.14,468.00,494.78,506.94,527.38,529.48,549.23,552.35,563.72,563.22,590.77,595.20,615.12,613.26,648.42,646.04,631.74,648.04,659.09,685.59,680.26
,RAMPAL,175.97,198.30,197.88,209.12,213.53,201.91,200.76,214.58,222.43,229.73,223.37,235.75,236.13,237.90,236.01,260.03,252.69,268.99,273.82,293.21,300.33,310.76,354.30,350.76
,SARANKHOLA,142.03,155.84,164.53,164.40,164.96,176.41,177.05,188.50,188.40,225.70,226.52,210.24,207.41,226.31,226.38,245.05,246.65,270.02,277.30,273.06,276.31,279.92,292.59,287.64
BANDARBAN Total,,547.13,696.53,604.23,614.49,597.96,729.55,688.18,709.23,724.12,870.23,818.53,814.44,816.51,920.67,890.73,901.24,871.47,1038.02,1009.09,965.27,1126.31,1084.80,1105.65,1099.24
BANDARBAN,ALI KADAM,25.37,33.42,28.70,29.51,27.63,35.38,32.22,32.36,41.62,54.28,40.37,40.50,35.45,43.93,40.05,38.16,38.21,44.86,43.51,41.11,47.17,45.05,44.67,45.07
,BANDARBAN SADAR,377.20,477.93,407.13,420.25,414.22,492.90,470.12,480.58,502.20,582.02,549.38,545.29,565.71,611.15,600.60,615.28,605.20,693.04,673.16,652.51,743.63,715.97,745.22,755.56
,LAMA,66.84,85.40,80.12,77.76,70.45,90.22,89.37,95.99,88.44,116.21,119.22,116.92,110.83,135.64,132.14,130.59,118.32,162.71,163.17,149.47,189.11,182.36,173.45,160.56
,NAIKHANGCHARI,33.35,42.34,39.23,40.89,39.30,47.80,42.92,44.67,41.10,50.54,48.35,49.72,45.91,55.26,51.64,53.29,45.35,56.10,52.59,50.49,57.35,55.39,59.79,53.79
,ROWANGCHARI,10.77,16.50,11.65,12.05,11.58,16.46,13.20,14.45,12.68,18.30,16.18,17.65,15.35,18.86,17.29,16.62,18.14,21.69,19.65,18.19,21.62,20.65,20.68,21.87
,RUMA,15.71,19.20,17.39,15.78,15.90,23.34,19.33,18.14,18.31,24.34,22.09,22.35,21.93,27.24,23.97,23.87,24.16,29.46,30.47,26.81,37.85,34.64,31.95,33.98
,THANCHI,17.89,21.74,20.02,18.24,18.89,23.45,21.03,23.05,19.77,24.54,22.94,22.01,21.33,28.59,25.03,23.44,22.09,30.15,26.54,26.68,29.59,30.73,29.89,28.41
BARGUNA Total,,1310.06,1410.85,1305.02,1400.65,1378.64,1500.40,1480.05,1508.57,1483.03,1630.72,1722.64,1712.66,1675.55,1806.29,1831.20,1895.07,2147.90,1989.85,2090.05,2022.96,2153.55,2214.89,2215.98,2267.68
BARGUNA,AMTALI,173.50,202.40,185.17,181.43,180.00,210.42,195.48,193.57,191.29,215.69,219.42,216.36,212.60,240.11,238.69,235.52,235.48,267.75,271.34,257.41,287.43,277.93,279.64,278.32
,BAMNA,113.19,119.34,114.74,121.53,118.52,128.85,120.76,125.95,123.56,134.04,132.09,134.16,136.49,140.82,135.37,152.68,121.11,134.96,156.51,153.83,160.02,169.53,165.04,172.76
,BARGUNA SADAR,658.24,700.70,633.13,696.45,689.61,743.16,745.94,758.66,751.74,828.46,908.47,884.96,858.29,925.05,945.61,980.71,1269.59,1033.22,1087.23,1037.15,1118.22,1161.75,1171.06,1213.54
,BETAGI,161.53,171.07,135.64,170.30,167.18,178.19,174.52,176.77,171.74,191.22,185.89,192.78,192.61,203.77,204.61,213.40,210.79,232.54,230.20,234.43,237.93,242.03,238.98,234.86
,PATHORGHATA,176.61,185.96,202.07,195.84,192.45,203.96,207.68,215.91,205.91,220.12,231.55,238.11,229.66,245.68,254.27,258.67,254.12,262.02,286.03,283.68,289.73,305.37,307.52,307.27
,TALTOLI,26.99,31.38,34.27,35.10,30.89,35.81,35.67,37.72,38.80,41.19,45.22,46.29,45.89,50.86,52.63,54.09,56.80,59.37,58.76,56.46,60.23,58.28,53.74,60.92
BARISHAL Total,,7598.85,8247.18,8050.68,8342.20,8208.78,8834.69,8993.21,9393.39,9352.19,10021.00,10411.85,10686.20,10501.32,11207.08,12104.55,12099.40,12314.24,13122.01,12810.82,12857.92,13487.29,13739.42,14175.71,14079.66
BARISHAL,AGAILJHARA,177.24,188.80,173.95,188.20,185.53,208.61,206.91,215.85,206.04,231.70,240.39,247.41,244.85,267.40,281.70,285.60,286.96,301.23,303.03,310.29,316.08,321.36,330.31,331.26
,AIRPORT,58.13,64.54,62.51,66.05,65.42,69.09,71.48,75.36,75.41,83.54,87.91,88.73,93.03,98.27,96.17,98.29,92.36,87.09,95.48,96.35,106.01,118.01,122.99,132.29
,BABUGANJ,177.65,195.76,190.99,196.37,202.63,235.48,216.19,227.16,222.88,238.57,245.32,258.11,259.37,274.43,276.81,292.38,401.15,462.11,331.20,338.56,366.20,364.49,388.45,383.98
,BAKERGANJ,416.48,440.13,428.93,431.91,428.34,454.03,462.81,473.87,483.48,562.75,608.88,587.06,542.54,593.49,606.66,620.26,647.83,645.67,724.86,703.85,692.91,709.80,726.13,728.98
,BANARIPARA,279.32,305.66,303.03,316.07,302.91,327.44,328.35,343.18,327.81,353.87,359.36,372.87,365.48,390.07,402.16,417.20,408.70,443.35,461.24,458.29,507.92,512.47,531.35,515.84
,GOURANADI,766.19,816.85,800.72,825.71,814.65,836.15,857.57,892.89,890.88,925.01,982.76,1030.55,1016.62,1065.03,1106.39,1109.08,1106.24,1236.72,1209.59,1203.25,1248.41,1296.90,1360.66,1337.44
,HIJLA,91.40,131.33,105.88,100.81,100.31,112.53,117.93,114.75,109.71,122.35,126.51,126.57,123.93,136.77,159.91,156.02,410.20,413.29,168.06,160.06,180.27,185.06,184.06,176.34
,KAZIRHAT,2.36,3.10,4.25,4.45,5.06,5.98,7.82,8.51,8.29,9.09,10.93,11.96,12.54,14.52,15.79,16.13,16.99,19.08,21.77,20.64,20.25,20.62,20.84,21.08
,KOTWALI_BARISHAL,4830.29,5233.15,5136.37,5329.99,5235.15,5650.02,5776.09,6043.41,6064.17,6440.44,6621.33,6804.94,6703.81,7155.84,7916.13,7765.70,7634.14,8091.43,8051.78,8109.30,8526.89,8632.27,8915.24,8861.67
,MEHENDIGANJ,274.87,291.33,294.56,307.92,309.95,335.08,341.54,356.03,326.17,361.32,416.30,394.22,380.02,406.24,409.79,416.35,432.82,464.17,465.47,460.73,487.38,492.26,506.98,502.64
,MULADI,208.88,241.55,221.17,222.17,215.03,238.30,239.77,250.38,247.59,273.04,283.05,299.00,296.92,322.71,331.70,348.57,349.71,385.91,397.85,397.22,420.51,436.37,438.10,436.78
,WAZIRPUR,316.04,334.98,328.33,352.55,343.79,361.97,366.74,392.01,389.77,419.32,429.12,464.77,462.21,482.31,501.34,573.80,527.15,571.96,580.50,599.37,614.48,649.80,650.59,651.36
BHOLA Total,,2744.14,3172.97,3093.75,3235.15,3124.82,3358.10,3392.42,3577.43,3505.54,3758.52,3841.58,4076.23,3983.48,4093.54,4229.78,4225.37,4182.65,4513.42,4587.49,4441.86,4627.28,4773.67,4854.42,4880.28
BHOLA,BHOLA SADAR,1163.15,1374.09,1297.47,1401.75,1352.28,1470.02,1445.65,1588.03,1568.30,1746.81,1704.95,1832.47,1772.61,1866.38,1897.31,1875.02,1838.55,2017.54,1953.58,1907.72,2049.85,2076.51,2110.10,2157.14
,BURHANUDDIN,364.90,390.34,394.69,414.93,400.27,424.75,426.08,438.28,433.73,455.75,507.05,534.95,525.18,505.96,518.61,529.17,520.65,540.55,568.15,542.64,541.20,561.39,575.97,552.05
,CHAR SHASIVUSON,18.66,18.82,19.22,20.56,21.35,21.27,22.95,24.09,21.02,21.36,23.06,24.31,24.15,25.74,27.13,27.24,28.22,29.32,31.62,30.05,30.42,33.25,32.30,34.23
,CHARFESHION,514.19,588.99,590.37,604.45,586.28,616.69,666.56,704.82,695.00,716.68,752.81,824.24,794.41,798.45,845.46,851.13,834.56,886.88,933.68,913.65,903.01,949.53,984.08,967.04
,DAULATKHAN,225.26,269.20,250.55,249.91,243.39,257.17,272.53,280.87,263.27,276.10,313.24,307.18,325.86,323.45,355.54,361.57,368.86,395.99,432.17,406.93,430.27,455.03,447.90,461.28
,LALMOHAN,289.55,332.32,325.42,333.34,324.98,353.83,343.20,334.80,345.79,357.30,354.98,363.66,363.13,386.19,393.04,389.91,399.42,433.58,449.52,424.24,455.55,476.29,485.60,484.61
,MONPURA,38.49,53.50,63.97,59.15,54.20,71.84,58.93,49.87,42.41,45.57,45.24,45.74,41.35,44.68,47.24,46.39,48.68,49.37,58.59,56.67,59.28,61.84,55.05,59.04
,TAZUMUDDIN,129.94,145.71,152.06,151.05,142.07,142.54,156.51,156.66,136.03,138.96,140.25,143.67,136.79,142.70,145.45,144.95,143.72,160.19,160.18,159.95,157.70,159.83,163.42,164.89
BOGURA Total,,7694.25,8297.40,8226.96,8568.76,8470.17,9201.91,9333.79,9824.14,9798.25,10379.52,10935.60,11239.10,11275.56,11813.76,12000.22,12508.29,12399.11,13110.54,12949.60,12896.98,13597.56,13721.17,14145.89,14428.37
